iter	Passed	Remaining
0	2	2157
1	5	2848
2	7	2646
3	10	2679
4	13	2667
5	16	2796
6	18	2678
7	21	2655
8	23	2600
9	25	2531
10	27	2502
11	30	2533
12	32	2485
13	36	2540
14	37	2482
15	40	2493
16	43	2532
17	47	2614
18	49	2539
19	50	2478
20	52	2426
21	54	2434
22	56	2381
23	57	2348
24	60	2362
25	61	2315
26	63	2271
27	64	2249
28	66	2220
29	67	2180
30	68	2148
31	70	2118
32	71	2099
33	72	2065
34	73	2038
35	74	2005
36	75	1975
37	77	1960
38	78	1936
39	79	1909
40	80	1890
41	81	1866
42	82	1844
43	84	1828
44	85	1821
45	87	1805
46	88	1786
47	89	1772
48	90	1762
49	91	1744
50	93	1734
51	94	1716
52	95	1699
53	96	1691
54	97	1676
55	98	1667
56	101	1679
57	103	1681
58	104	1671
59	106	1674
60	109	1678
61	111	1683
62	112	1670
63	113	1657
64	114	1648
65	116	1648
66	117	1636
67	118	1626
68	119	1614
69	121	1612
70	122	1601
71	123	1590
72	124	1580
73	125	1573
74	127	1572
75	129	1578
76	131	1581
77	133	1583
78	135	1583
79	138	1593
80	139	1586
81	141	1585
82	143	1582
83	145	1586
84	147	1585
85	148	1577
86	149	1568
87	150	1559
88	151	1553
89	153	1552
90	154	1544
91	155	1538
92	157	1534
93	160	1549
94	162	1546
95	164	1545
96	166	1552
97	168	1551
98	170	1548
99	172	1556
100	175	1559
101	176	1553
102	177	1547
103	179	1542
104	180	1536
105	181	1529
106	182	1526
107	185	1532
108	186	1526
109	187	1519
110	188	1512
111	190	1512
112	192	1508
113	194	1508
114	195	1502
115	197	1506
116	199	1503
117	201	1506
118	203	1505
119	204	1503
120	206	1500
121	207	1493
122	209	1490
123	210	1486
124	212	1486
125	213	1481
126	214	1477
127	216	1474
128	217	1471
129	219	1466
130	221	1468
131	223	1469
132	225	1466
133	226	1463
134	227	1458
135	229	1458
136	232	1465
137	236	1474
138	238	1475
139	240	1478
140	242	1479
141	245	1480
142	246	1476
143	248	1478
144	251	1481
145	253	1482
146	255	1483
147	257	1481
148	259	1479
149	261	1480
150	262	1476
151	265	1481
152	268	1486
153	270	1485
154	272	1486
155	275	1490
