iter	Logloss	Accuracy
0	0.6777119047	0.8388561053
1	0.666594976	0.8284157966
2	0.6553801185	0.8288697231
3	0.6423174243	0.8334089877
4	0.6325539569	0.8338629142
5	0.6202646652	0.8388561053
6	0.6106266062	0.8343168407
7	0.6004091	0.8374943259
8	0.5894493052	0.8406718112
9	0.5783928615	0.8429414435
10	0.5688660908	0.8420335906
11	0.559319054	0.8456650023
12	0.5502477574	0.8456650023
13	0.5401111585	0.8465728552
14	0.5322319699	0.849296414
15	0.5247307811	0.8497503404
16	0.5157286479	0.849296414
17	0.5077333223	0.8520199728
18	0.5003982853	0.8515660463
19	0.4925796808	0.8542896051
20	0.4853980354	0.8524738992
21	0.4780925918	0.8583749433
22	0.4723352911	0.8606445756
23	0.4675674305	0.8606445756
24	0.4613308721	0.861098502
25	0.4559561418	0.8597367227
26	0.4495989615	0.8629142079
27	0.4438329538	0.8647299138
28	0.4391279118	0.8665456196
29	0.4346633193	0.8669995461
30	0.4301084861	0.8669995461
31	0.4255842698	0.867907399
32	0.4215787035	0.8724466636
33	0.4166877251	0.8710848842
34	0.4121927059	0.874716296
35	0.4081938866	0.8719927372
36	0.4042766955	0.874716296
37	0.4006789634	0.8756241489
38	0.3969957672	0.874716296
39	0.3940756208	0.8751702224
40	0.3907797382	0.8724466636
41	0.3880887801	0.873808443
42	0.3852793488	0.8760780754
43	0.3820235478	0.8751702224
44	0.379643004	0.8774398547
45	0.3767063795	0.8765320018
46	0.3741363582	0.874716296
47	0.3717467734	0.8760780754
48	0.3692761537	0.8760780754
49	0.3664152079	0.8756241489
50	0.3644053412	0.8792555606
51	0.3625422334	0.8801634135
52	0.360738566	0.88061734
53	0.3591133809	0.8824330458
54	0.3569750465	0.8842487517
55	0.355364193	0.8833408988
56	0.3530309063	0.8842487517
57	0.3513411115	0.8833408988
58	0.3495924426	0.8833408988
59	0.3476984369	0.8856105311
60	0.3462972298	0.8847026782
61	0.3450687438	0.8842487517
62	0.3438450695	0.8847026782
63	0.3425199927	0.8856105311
64	0.341297964	0.8860644576
65	0.3401417988	0.8851566046
66	0.3387272403	0.8851566046
67	0.3377323267	0.8860644576
68	0.3367893388	0.8860644576
69	0.3356529907	0.8874262369
70	0.334361221	0.8869723105
71	0.3329704195	0.8883340899
72	0.3315936635	0.8901497957
73	0.3298818827	0.8901497957
74	0.3286078852	0.8896958693
75	0.3273341702	0.8892419428
76	0.3263329578	0.8887880163
77	0.325468346	0.8892419428
78	0.3247289379	0.8901497957
79	0.3232978573	0.8901497957
80	0.3222067813	0.8896958693
81	0.3212884474	0.8896958693
82	0.320585172	0.8906037222
83	0.3191872396	0.8896958693
84	0.3181966239	0.8896958693
85	0.3173119262	0.8896958693
86	0.316479833	0.8887880163
87	0.3154940822	0.8887880163
88	0.3147316896	0.8896958693
89	0.3135711377	0.8892419428
90	0.312396668	0.8892419428
91	0.3115250436	0.8892419428
92	0.310833681	0.8874262369
93	0.3098917988	0.8878801634
94	0.3091295749	0.8887880163
95	0.3083512679	0.8878801634
96	0.3077027675	0.8892419428
97	0.3068476506	0.8883340899
98	0.3059697544	0.8887880163
99	0.3050625149	0.8883340899
100	0.3042850117	0.8919655016
101	0.3032898119	0.8915115751
102	0.3025237237	0.8915115751
103	0.3016636253	0.8928733545
104	0.3007770003	0.8928733545
105	0.2996579463	0.893327281
106	0.2991608092	0.8937812074
107	0.2987469114	0.8937812074
108	0.2982310322	0.8928733545
109	0.2979143101	0.8937812074
110	0.2973131816	0.893327281
111	0.2961780586	0.8942351339
112	0.2954733602	0.8946890604
113	0.2948748638	0.8946890604
114	0.2942490487	0.8942351339
115	0.2936993369	0.8942351339
116	0.2932214058	0.8942351339
117	0.2926628594	0.8937812074
118	0.2920821067	0.8969586927
119	0.2913855726	0.8942351339
120	0.2907931041	0.8955969133
121	0.2901586917	0.8960508398
122	0.2894020087	0.8965047662
123	0.2887948663	0.8960508398
124	0.2878747646	0.8960508398
125	0.287354923	0.8974126192
126	0.2863986133	0.9001361779
127	0.2860146179	0.9005901044
128	0.2852899618	0.9010440309
129	0.2846156679	0.9010440309
130	0.2841582173	0.9010440309
131	0.2838514248	0.9019518838
132	0.2832421387	0.9014979573
133	0.2826644538	0.9014979573
134	0.2821141929	0.9028597367
135	0.2815857964	0.9014979573
136	0.2811821228	0.9014979573
137	0.2807577193	0.9028597367
138	0.2803196752	0.9028597367
139	0.2800687508	0.9024058103
140	0.279498247	0.9019518838
141	0.2791899124	0.9028597367
142	0.2787953292	0.9028597367
143	0.2782768693	0.9033136632
144	0.2779592023	0.9033136632
145	0.2774652201	0.9037675897
146	0.2771515093	0.9037675897
147	0.2768195248	0.9037675897
148	0.2764828963	0.9037675897
149	0.2758051279	0.9046754426
150	0.2754368891	0.9037675897
151	0.2754287707	0.9037675897
152	0.2749102025	0.905129369
153	0.2745680898	0.9055832955
154	0.2741422203	0.9055832955
155	0.2737559717	0.9069450749
156	0.2731323105	0.9069450749
157	0.2725091282	0.9073990014
158	0.2720239956	0.906037222
159	0.2713626182	0.906037222
160	0.2706980387	0.9073990014
161	0.2705834329	0.9073990014
162	0.2700684557	0.9078529278
163	0.2699117774	0.9078529278
164	0.2693273726	0.9078529278
165	0.2687828869	0.9087607808
166	0.2682138923	0.9087607808
167	0.2679499658	0.9078529278
168	0.2677347354	0.9096686337
169	0.2675167403	0.9083068543
170	0.2674074629	0.9096686337
171	0.2670537203	0.9101225601
172	0.2663575321	0.9096686337
173	0.2657479995	0.9096686337
174	0.2655547696	0.9083068543
175	0.2651033167	0.9096686337
176	0.2647563453	0.9101225601
177	0.2645205385	0.9101225601
178	0.2643858644	0.9105764866
179	0.2642836666	0.9105764866
180	0.2640434494	0.9105764866
181	0.2634969538	0.9092147072
182	0.263067812	0.9114843395
183	0.2627095859	0.9123921925
184	0.2624289278	0.9123921925
185	0.2619282053	0.9105764866
186	0.2617967131	0.9123921925
187	0.2616641379	0.9128461189
188	0.2613708822	0.9110304131
189	0.2611873335	0.9110304131
190	0.2608222695	0.9114843395
191	0.2605741725	0.9123921925
192	0.2601083429	0.9133000454
193	0.2593149679	0.9137539719
194	0.2591390325	0.9137539719
195	0.2588859506	0.9137539719
196	0.2588292392	0.9137539719
197	0.2584466508	0.9137539719
198	0.2582765819	0.9142078983
199	0.257878898	0.9142078983
200	0.2573892651	0.9142078983
201	0.257077296	0.9142078983
202	0.256754114	0.9142078983
203	0.2563817059	0.9128461189
204	0.2560587864	0.9128461189
205	0.2559879069	0.9128461189
206	0.2559074772	0.9128461189
207	0.2556627834	0.9155696777
208	0.2553407744	0.9151157512
209	0.2549637175	0.9151157512
210	0.2547757913	0.9151157512
211	0.2544406962	0.9155696777
212	0.2543674227	0.9155696777
213	0.2540897768	0.9155696777
214	0.2537351431	0.9160236042
215	0.2533509311	0.9155696777
216	0.2526353771	0.9160236042
217	0.2524099273	0.9160236042
218	0.2521993932	0.9160236042
219	0.2519283305	0.9160236042
220	0.2517168296	0.9160236042
221	0.2513731363	0.9160236042
222	0.2509206791	0.9160236042
223	0.2508341791	0.9160236042
224	0.2506570339	0.9155696777
225	0.2502635757	0.9155696777
226	0.2498659389	0.9164775306
227	0.2495916257	0.9164775306
228	0.2493483168	0.9164775306
229	0.2490560025	0.9164775306
230	0.2488632191	0.9164775306
231	0.2486856736	0.9164775306
232	0.2484191645	0.9164775306
233	0.2477407491	0.9164775306
234	0.2473133153	0.9164775306
235	0.2469544065	0.9151157512
236	0.246607854	0.9164775306
237	0.246335117	0.9151157512
238	0.2460605518	0.9151157512
239	0.2458248261	0.9160236042
240	0.245689659	0.9160236042
241	0.2455036243	0.9160236042
242	0.2450841169	0.9146618248
243	0.2448522413	0.9146618248
244	0.2445774236	0.9146618248
245	0.2443418228	0.9146618248
246	0.244125597	0.9146618248
247	0.2437717513	0.9146618248
248	0.243396241	0.9146618248
249	0.2433420908	0.9146618248
250	0.2431550195	0.9146618248
251	0.2429923172	0.9146618248
252	0.2428090145	0.9146618248
253	0.2423645868	0.9146618248
254	0.2420879303	0.9160236042
255	0.2416676443	0.9164775306
256	0.2415670176	0.9164775306
257	0.2414622173	0.9164775306
258	0.2409707044	0.9164775306
259	0.2407877217	0.9164775306
260	0.2406163059	0.9164775306
261	0.2401360341	0.9169314571
262	0.2398652181	0.9164775306
263	0.2397267504	0.9164775306
264	0.2392547744	0.9160236042
265	0.2389634092	0.9160236042
266	0.2386993226	0.9160236042
267	0.2384308291	0.9164775306
268	0.2383339749	0.9164775306
269	0.2381330268	0.9164775306
270	0.2379991786	0.9164775306
271	0.23783713	0.9164775306
272	0.2375935784	0.9164775306
273	0.2374420029	0.9164775306
274	0.2372391911	0.9164775306
275	0.2370472441	0.9169314571
276	0.2369866485	0.9164775306
277	0.2369491157	0.9164775306
278	0.2366443939	0.9164775306
279	0.2364670362	0.9169314571
280	0.2362831319	0.9169314571
281	0.236058226	0.9173853836
282	0.2358814599	0.9169314571
