iter	Passed	Remaining
0	185	928185
1	217	543767
2	253	422050
3	285	356310
4	312	312583
5	349	291106
6	380	271237
7	415	259413
8	443	245796
9	473	236524
10	505	229347
11	550	228945
12	585	224619
13	615	219249
14	646	214706
15	677	211174
16	708	207666
17	740	204859
18	782	205097
19	828	206185
20	870	206489
21	915	207187
22	963	208432
23	1005	208515
24	1050	209138
25	1097	209886
26	1138	209620
27	1183	210167
28	1235	211864
29	1280	212096
30	1309	209927
31	1355	210508
32	1400	210816
33	1449	211693
34	1491	211557
35	1526	210476
36	1561	209441
37	1595	208284
38	1626	206899
39	1668	206840
40	1712	207158
41	1743	205779
42	1776	204768
43	1817	204677
44	1866	205474
45	1905	205162
46	1940	204509
47	1984	204763
48	2020	204167
49	2056	203576
50	2090	202854
51	2124	202156
52	2162	201853
53	2207	202169
54	2240	201463
55	2272	200670
56	2310	200343
57	2346	199978
58	2384	199724
59	2415	198904
60	2447	198184
61	2486	198027
62	2522	197684
63	2557	197258
64	2592	196811
65	2629	196543
66	2665	196235
67	2700	195855
68	2734	195412
69	2770	195154
70	2805	194743
71	2836	194109
72	2883	194591
73	2917	194207
74	2948	193589
75	2982	193266
76	3019	193046
77	3064	193371
78	3100	193125
79	3141	193219
80	3176	192884
81	3215	192855
82	3254	192811
83	3289	192536
84	3332	192678
85	3393	193922
86	3431	193784
87	3463	193333
88	3499	193125
89	3528	192511
90	3561	192104
91	3598	191960
92	3638	191961
93	3674	191758
94	3710	191598
95	3748	191471
96	3784	191300
97	3822	191204
98	3854	190802
99	3890	190614
100	3926	190466
101	3962	190274
102	4009	190632
103	4039	190162
104	4071	189797
105	4105	189530
106	4132	188957
107	4159	188408
108	4188	187935
109	4228	187961
110	4259	187615
111	4300	187665
112	4343	187825
113	4381	187795
114	4421	187817
115	4456	187640
116	4494	187557
117	4528	187350
118	4557	186927
119	4594	186847
120	4632	186805
121	4676	186975
122	4714	186940
123	4758	187135
124	4798	187152
125	4832	186934
126	4866	186744
127	4898	186465
128	4932	186240
129	4967	186092
130	5002	185925
131	5041	185908
132	5072	185622
133	5107	185462
134	5140	185232
135	5178	185190
136	5215	185124
137	5250	184981
138	5284	184792
139	5315	184535
140	5350	184392
141	5387	184318
142	5426	184320
143	5462	184191
144	5495	183990
145	5523	183649
146	5553	183352
147	5586	183147
148	5620	182995
149	5655	182856
150	5693	182831
151	5719	182430
152	5765	182635
153	5807	182738
154	5846	182753
155	5885	182750
156	5933	183046
157	5974	183078
158	6011	183024
159	6050	183013
160	6088	183000
161	6127	182980
162	6160	182816
163	6191	182579
164	6221	182306
165	6254	182119
166	6286	181927
167	6327	181996
168	6373	182188
169	6425	182558
170	6464	182546
171	6515	182902
172	6560	183049
173	6599	183031
174	6638	183039
175	6678	183056
176	6718	183063
177	6755	183003
178	6792	182954
179	6824	182752
180	6860	182658
181	6899	182642
182	6942	182730
183	6982	182750
184	7019	182698
185	7057	182652
186	7098	182703
